UserID,Username,Email,PasswordHash,Phone,Address,CityID,SignUpDate,AcquisitionChannelID,ReferredBy,LastLoginDate,IsActive,Preferences
1,tripathioviya,sathvikmody@example.org,edd89a1bce42be28adbdc8a5b6f7b721743ad9b0e4851db2a52708482ba7b441,07366454867,"130, Shanker Road, Thiruvananthapuram 364602",14,2024-01-01,2,,2024-01-09,True,"{""dietary"": ""Jain""}"
2,yashawiniminhas,tiwarihemangini@example.org,d0c8d84e50e388a047b16e27f2da60bac6acd4a4a62e211919ad9e23ce61589c,7345762789,"01/86, Chowdhury Nagar, Rajkot-602432",31,2024-01-01,1,,2024-01-01,True,"{""dietary"": ""Vegetarian""}"
3,sharafurvashi,ewagle@example.com,29890e86104c5cd2811e78fb22a6571c582a767b6cb339674f1c3c18f5dabc56,+912987563682,"H.No. 560, Sarkar, Dhanbad-590957",6,2024-01-01,4,,2024-01-12,True,"{""dietary"": ""None""}"
4,onkarsaraf,onikumar@example.com,22d657a82c787c8719ec6321d7a90360eb2c1fe1bf1b5deb551b4bdc51b19b11,01948427051,"54/734, Sen Road, Hospet-892667",50,2024-01-01,1,,2024-01-31,True,"{""dietary"": ""Vegan""}"
5,damini60,mmitter@example.org,b6c396cb93e49216f2887672a83bd61b5a24846a008d7e2a7ba38756f9bed0a6,7580913547,"H.No. 748, Subramaniam Circle, Ludhiana-548933",42,2024-01-01,1,,2024-01-20,True,"{""dietary"": ""None""}"
6,tiwaribhavna,harshjaggi@example.com,db390e8f6dfcaaaa29b1d01adb4a118d6d0ae807d709caeb28b1a2268fc81818,07441807339,"572, Sharma Ganj, Pallavaram 790619",27,2024-01-01,1,,2024-01-24,True,"{""dietary"": ""Vegan""}"
7,parth09,uchopra@example.net,176fbb75ab1c4d5487c5bc83a97fb37dc46ed28578d878a39750fe12ece6ddc8,+916135921179,"H.No. 95, Kapur Street, Salem 059322",26,2024-01-01,7,,2024-01-22,True,"{""dietary"": ""Vegan""}"
8,qbarad,krishsrinivasan@example.com,c094b2abd6e2bc3063786df71af5accd7a3cfb0fcd8f44d24939d5e76926a6ce,3623893500,"62/944, Morar Path, Hospet-736993",3,2024-01-01,5,,2024-01-13,True,"{""dietary"": ""Vegan""}"
9,shivansh09,keyapatil@example.com,3facfa19ec601b18e2d97a6669acce06428066ec5e45181ef926bb01426358a5,4676975719,"88, Bhatia, Mysore 035965",6,2024-01-01,8,,2024-01-18,True,"{""dietary"": ""Vegetarian""}"
10,pravi,vritti26@example.org,0b1d908426554673791500bbf5b5970c6319ca07de1fd5502648379e592dd043,1047076606,"34, Mistry Ganj, Jamshedpur 753006",26,2024-01-01,2,,2024-01-14,True,"{""dietary"": ""Jain""}"
11,jgopal,falak14@example.com,7b5e4b0fe779d0a395bc254b6d352c78e81672b6b8565204d2c9e79d351744da,3673014972,"H.No. 392, Kannan, Pallavaram 230133",46,2024-01-01,5,,2024-01-22,False,"{""dietary"": ""Vegetarian""}"
12,nilima83,muniazaan@example.org,2238011f761494d9c7bd7fea41ca408ee7c67ce2ead66519f024b0758ce1af3d,04096942850,"H.No. 167, Tata Marg, Bidhannagar 232192",22,2024-01-01,5,,2024-01-20,True,"{""dietary"": ""Vegan""}"
13,manthan41,savantmegha@example.org,ef261526dc536571d76f3250a84e3196ebd3473996ca13fcb4009fa7e775dc39,9654283054,"H.No. 18, Ray Chowk, Uluberia 138175",35,2024-01-01,1,,2024-01-13,True,"{""dietary"": ""None""}"
14,vamakshinarayan,pathakjalsa@example.org,dc77a2e3f53f0e7f76d9cfe3c6c608aab043a86a7f17b62c8649d58171334cb2,0887359154,"77, Mody Nagar, Chennai 625745",4,2024-01-01,3,,2024-01-10,True,"{""dietary"": ""Vegetarian""}"
15,aggarwalvidhi,tmannan@example.com,7ed50329fa41519b52a5a1832dd97e57c6bd3c1c4354243b4da7fd71cdefd60f,03773882764,"60/007, Walia Zila, Mango-381267",18,2024-01-01,3,,2024-01-14,True,"{""dietary"": ""Vegan""}"
16,mannanchatura,aayush08@example.org,bcbee8d1e6d69d28813eddbd37a80b452354d02141437a6eb5eeeca534fa7600,+917494003279,"89, Savant Zila, Rohtak-337232",31,2024-01-01,7,,2024-01-15,True,"{""dietary"": ""Jain""}"
17,bachittar01,yugmallick@example.com,8a97d436487f6d06fa221a3ef10e4bedf9c69e891d71f138b5a2167ee8d21d3d,7924233213,"94, Peri, Vellore-919022",40,2024-01-01,1,,2024-01-22,True,"{""dietary"": ""Jain""}"
18,unnatiborra,godasathvik@example.org,7001787b9092756f41902b4338ffb9781f2219612069c3b76f46c57abcb66abe,+915127086166,"07/40, Prasad Road, Ambala 940713",11,2024-01-01,2,,2024-01-26,True,"{""dietary"": ""Vegetarian""}"
19,unni59,shettytarak@example.net,6eb9b3eaebde91374cc9eb296b28c3ea7ff597bc803c1540c0254c6b501ec94f,6491381517,"87, Pau Street, Ramagundam-337334",34,2024-01-01,5,,2024-01-22,True,"{""dietary"": ""Vegan""}"
20,narasimhannidra,xkara@example.com,0a7e125b0bc5c988dc95d24be82700785b75d86b6583602aa7be96213e7b6cba,02037634604,"56, Batra Street, Malegaon-897921",19,2024-01-01,5,,2024-01-17,True,"{""dietary"": ""Vegan""}"
21,mangatnoah,ishaansrinivasan@example.com,203106c065cd0317fbc0676e02c6b3048d3cc04a131a6f5eaa91104cbad17356,8425521420,"H.No. 685, Sanghvi Road, Yamunanagar-114759",13,2024-01-01,2,,2024-01-03,False,"{""dietary"": ""Vegetarian""}"
22,osawhney,atharv79@example.org,afabb81cb99d015f75042c60d2924c87d6330743f6e226877be5ac7cceaaa506,+911081634392,"45, Dhillon Circle, Gorakhpur 755945",20,2024-01-01,1,,2024-01-22,True,"{""dietary"": ""Vegetarian""}"
23,hrajagopal,grewaltanveer@example.org,383ef1256195373f73af997851626493544baa65acb2384760301ab14d8e9b0a,+913818923420,"H.No. 12, Talwar Street, Kamarhati-712714",12,2024-01-01,5,,2024-01-26,True,"{""dietary"": ""Vegetarian""}"
24,mohini51,maanav08@example.org,87d663b369262900a0ceb92f5947b6c642067f7b58f9cd92a2cfd115cb4b6b8e,4537319419,"90/831, Sha Zila, Deoghar-751876",9,2024-01-01,3,,2024-01-01,True,"{""dietary"": ""Vegetarian""}"
25,lsubramaniam,yug12@example.net,5f385d0a7cde17e7172d25252a99beb4d72aae73dc010fee3d8af6ac6721e21d,9307842338,"547, Bansal, Parbhani 495617",6,2024-01-01,2,,2024-01-16,True,"{""dietary"": ""None""}"
26,ekapadmurthy,rbedi@example.com,1917b0ee07fcb5b741bf2859e430c377ca996414cf770515d875c916d9291989,8600337548,"21/71, Mahajan Path, Mirzapur-377076",3,2024-01-01,6,,2024-01-15,True,"{""dietary"": ""Vegetarian""}"
27,abhabala,jeremiah73@example.net,4735ad7cde8425394ca04f2b2c3da91bb723c8da65a9e70fbc661d6283469413,02390816949,"H.No. 24, Garg Chowk, Vellore 734227",38,2024-01-01,6,,2024-01-23,True,"{""dietary"": ""Jain""}"
28,reyansh76,damble@example.com,2b93649a9213cbe1fe9bfc42977a86fba7cd824788310a40407370b04854d469,+916805661735,"H.No. 98, Nayar, Patna 893676",13,2024-01-01,1,,2024-01-16,True,"{""dietary"": ""Vegetarian""}"
29,whegde,tbanik@example.org,0f48e96da79f5651ffafb15bda36d6540dc4285ce7de32f992f72f478d739659,4477900613,"40/967, Rai Circle, Orai-348585",28,2024-01-01,7,,2024-01-05,True,"{""dietary"": ""None""}"
30,rdatta,upadhriti15@example.net,c512723a73d90aadc8844202b4d5686d7e8161de6dd186206cde14393f332c81,8795518194,"H.No. 004, Balay Path, Howrah-949739",24,2024-01-02,7,,2024-01-30,False,"{""dietary"": ""None""}"
31,bhanumatibanik,aarnakulkarni@example.org,06495a2a34d36fb5fbde491faa8b954e87948eec21f89ea65c4fee6335b9fe60,+916460875467,"26/26, Gara Nagar, Farrukhabad-211186",12,2024-01-02,6,,2024-01-26,True,"{""dietary"": ""Vegetarian""}"
